,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
144,2004 Toyota Corolla H2,-,5 Seats,N/A,Manual,1794 cc,2004,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 1.70 Lakh
145,2011 BMW X5 xDrive 30d,2011,Diesel,"85,000 Kms",2993 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.95 Lakh
146,2013 Maruti Swift VDI,2013,Diesel,"75,513 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.15 Lakh
147,2016 Maruti Wagon R VXI AMT1.2BSIV,2016,Petrol,"29,000 Kms",1197 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.65 Lakh
148,2012 Hyundai i10 Sportz AT,2012,Petrol,"44,000 Kms",1197 cc,First Owner,Automatic,Power Steering,None,Heater,Fog Lights Front,-,-,-,-,-,-,-,-,₹ 3.85 Lakh
149,2017 Maruti Ertiga BSIV ZXI,2017,Petrol,"51,756 Kms",1373 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.75 Lakh
150,2017 Hyundai Verna VTVT 1.6 SX,2017,Petrol,"34,990 Kms",1591 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.45 Lakh
151,2017 BMW 3 Series GT M Sport Petrol,2017,Petrol,"18,000 Kms",1998 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 36 Lakh
152,2021 Renault Kiger RXT,2021,Petrol,"12,000 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.75 Lakh
153,2020 Hyundai Verna SX Opt,2020,Petrol,"22,000 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 13.40 Lakh
154,2015 Volvo V40 T4,2015,Petrol,"14,000 Kms",1596 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 16.75 Lakh
155,2017 Hyundai Creta 1.6 SX Automatic Diesel,2017,Diesel,"79,000 Kms",1582 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.75 Lakh
156,2016 Honda Jazz 1.2 V i VTEC,2016,Petrol,"50,955 Kms",1199 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.45 Lakh
157,2016 Hyundai i20 Magna AT 1.4,2016,Petrol,"90,000 Kms",1368 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.20 Lakh
158,2018 Maruti Baleno Alpha,2018,Petrol,"19,774 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.35 Lakh
159,2010 Maruti Swift VXi BSIV,2010,Petrol,"1,13,791 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.53 Lakh
160,2013 Volkswagen Jetta 2.0L TDI Comfortline,2013,Diesel,"1,00,766 Kms",1968 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.85 Lakh
161,2017 Hyundai Verna 1.6 SX VTVT,2017,Petrol,"41,328 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.99 Lakh
162,2021 Mercedes-Benz C-Class Progressive C 200,2021,Petrol,"5,000 Kms",1950 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 48 Lakh
163,2012 Volkswagen Polo Diesel Trendline 1.2L,2012,Diesel,"80,000 Kms",1199 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.10 Lakh
164,2010 Hyundai i20 1.2 Magna,2010,Petrol,"90,000 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Fog Lights Rear,-,-,-,-,-,-,-,-,₹ 3.85 Lakh
165,2013 Volkswagen Polo 1.5 TDI Comfortline,2013,Diesel,"50,000 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.90 Lakh
166,2017 Hyundai Verna CRDi 1.6 AT SX Plus,2017,Diesel,"80,000 Kms",1582 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 10.95 Lakh
167,2016 Mahindra XUV500 AT W10 1.99 mHawk,2016,Diesel,"60,121 Kms",1997 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 14.25 Lakh
