,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
11,2016 Maruti Baleno 1.2 Delta,2016,Petrol,"29,859 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.55 Lakh
12,2018 Maruti Ciaz Alpha BSIV,2018,Petrol,"32,480 Kms",1462 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.33 Lakh
13,2018 Maruti Alto 2021 VXi,2018,Petrol,"65,761 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.63 Lakh
14,2018 Land Rover Discovery Sport TD4 HSE 7S,2018,Diesel,"85,000 Kms",1999 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 36.50 Lakh
15,2018 Land Rover Range Rover Velar D180 SE,2018,Diesel,"34,000 Kms",1999 cc,Second Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 66.50 Lakh
16,2019 Honda WR-V i-DTEC VX,2019,Diesel,"43,700 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.95 Lakh
17,2019 Honda Amaze V CVT Petrol BSIV,2019,Petrol,"26,400 Kms",1199 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.85 Lakh
18,2018 Isuzu D-Max High,2018,Diesel,"34,000 Kms",2499 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 17.75 Lakh
19,2021 Mercedes-Benz GLC Coupe 300d 4MATIC,2021,Diesel,"25,000 Kms",1950 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 74.50 Lakh
20,2016 Hyundai Creta 1.6 VTVT SX Plus,2016,Petrol,"44,461 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.20 Lakh
21,2019 Maruti Ciaz Alpha BSIV,2019,Petrol,"33,206 Kms",1462 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.34 Lakh
22,2018 Toyota Etios Liva 1.2 G,2018,Petrol,"24,250 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.25 Lakh
23,2019 Maruti Ciaz Alpha BSIV,2019,Petrol,"82,496 Kms",1462 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 8.72 Lakh
24,2017 Maruti Baleno 1.2 Sigma,2017,Petrol,"1,08,682 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.85 Lakh
25,2014 Maruti Alto K10 2010-2014 VXI,2014,Petrol,"55,107 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.68 Lakh
26,2017 Maruti Celerio Green VXI,2017,CNG,"89,574 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.52 Lakh
27,2016 Maruti Baleno 1.2 Zeta,2016,Petrol,"63,077 Kms",1197 cc,Third Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.41 Lakh
28,2014 Maruti Alto K10 2010-2014 VXI,2014,Petrol,"81,906 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.72 Lakh
29,2018 Maruti Baleno 1.2 Delta,2018,Petrol,"44,114 Kms",1197 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.15 Lakh
30,2016 Maruti Swift Dzire VXI,2016,Petrol,"41,769 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5 Lakh
31,2018 Maruti Wagon R LXI CNG,2018,CNG,"82,677 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.49 Lakh
32,2019 Maruti Alto K10 VXI Optional,2019,Petrol,"34,352 Kms",998 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.88 Lakh
33,2021 Maruti Alto 800 VXI,2021,Petrol,"11,684 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.10 Lakh
34,2019 Maruti Baleno 1.2 Zeta,2019,Petrol,"34,196 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.50 Lakh
35,2017 Hyundai Creta 1.6 CRDi SX,2017,Diesel,"43,426 Kms",1582 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.45 Lakh
36,2016 Maruti Ciaz AT ZXi,2016,Petrol,"38,387 Kms",1373 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 7.53 Lakh
37,2015 Hyundai Grand i10 Sportz,2015,Petrol,"72,648 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.23 Lakh
38,2016 Maruti Ciaz ZDi SHVS,2016,Diesel,"92,530 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.43 Lakh
39,2020 Renault KWID 1.0 RXT Opt BSIV,2020,Petrol,"43,220 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.25 Lakh
40,2018 Honda City i-VTEC VX,2018,Petrol,"55,732 Kms",1497 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 9.46 Lakh
41,2021 Maruti Ignis Zeta,2021,Petrol,"6,068 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 6.43 Lakh
42,2015 Hyundai Grand i10 Sportz,2015,Petrol,"30,680 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.40 Lakh
43,2017 Maruti Baleno 1.2 Delta,2017,Petrol,"48,195 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 5.60 Lakh
44,2015 Maruti Swift VVT VXI,2015,Petrol,"62,644 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 4.23 Lakh
45,2019 Hyundai Creta 1.6 SX Option,2019,Petrol,"24,697 Kms",1591 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 12.85 Lakh
46,2018 Maruti Alto 800 LXI,2018,Petrol,"26,979 Kms",796 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 2.83 Lakh
47,2020 Maruti Alto 800 LXI,2020,Petrol,"27,629 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,-,-,-,-,-,-,-,₹ 3.53 Lakh
