,Brand,Make_Year,Fuel,KMs_Driven,Engine_Displacement,No_Of_Owner,Transmission,Mileage,Max_Power,Torque,Seats,Color,Gear_Box,Drive_Type,Steering_Type,Front_Brake_Type,Rear_Brake_Type,Acceleration,Engine_Type,Price
54,2019 Maruti Swift Dzire AMT VXI,2019,Petrol,"15,408 Kms",1197 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,-,-,,₹ 7.44 Lakh
55,2018 Renault KWID Climber 1.0 AMT,2018,Petrol,"35,625 Kms",999 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,-,-,,₹ 4.16 Lakh
56,2019 Renault KWID 1.0 RXT Optional AT 2016-2019,2019,Petrol,"17,261 Kms",999 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,-,-,-,,₹ 4.33 Lakh
57,2019 Renault KWID Climber 1.0 MT,2019,Petrol,"30,451 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,-,-,,₹ 4.34 Lakh
58,2021 Renault Kiger RXT Turbo DT,2021,Petrol,"11,665 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 7.89 Lakh
59,2020 Renault KWID Climber 1.0 MT Opt,2020,Petrol,"8,339 Kms",999 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 5.05 Lakh
60,2016 Maruti Baleno 1.2 Zeta,2016,Petrol,"53,191 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 5.88 Lakh
61,2011 Volkswagen Vento Diesel Trendline,2011,Diesel,"1,45,800 Kms",1598 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,-,-,,₹ 2.65 Lakh
62,2019 Hyundai Creta 1.4 E Plus CRDi,2019,Diesel,"60,238 Kms",1396 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,-,-,-,,₹ 9.51 Lakh
63,2011 Maruti Ritz VDi,2011,Diesel,"1,61,000 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,-,-,-,,₹ 2.85 Lakh
64,2011 Mahindra Bolero SLX 2WD BSIII,2011,Diesel,"1,78,537 Kms",2523 cc,Fourth Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,-,-,-,-,,₹ 3.35 Lakh
65,2015 Nissan Micra Diesel XV Premium,-,5 Seats,First Owner,2015,Manual,None,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 3.95 Lakh
66,2013 Maruti Swift VXI,-,5 Seats,Second Owner,2013,Manual,None,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,-,-,,₹ 3.50 Lakh
67,2020 Hyundai Creta 1.6 SX Diesel,2020,Diesel,"42,000 Kms",1582 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 16.85 Lakh
68,2011 Toyota Fortuner 3.0 Diesel,2011,Diesel,"1,10,000 Kms",2982 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 12.95 Lakh
69,2021 Maruti Baleno Delta,2021,Petrol,"16,000 Kms",1197 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 7.75 Lakh
70,2016 Maruti Swift LDI BSIV,2016,Diesel,"61,000 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,-,-,-,-,,₹ 5.95 Lakh
71,2021 Tata Nexon XZA Plus (O) AMT,2021,Petrol,"19,000 Kms",1199 cc,First Owner,Automatic,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 11.95 Lakh
72,2011 Maruti Eeco 5 Seater AC,2011,Petrol,"89,807 Kms",1196 cc,First Owner,Manual,Accessory Power Outlet,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 2.70 Lakh
73,2019 Maruti Eeco 7 Seater Standard BSIV,2019,Petrol,"22,000 Kms",1196 cc,First Owner,Manual,Low Fuel Warning Light,None,Digital Odometer,Adjustable Head Lights,-,,,-,-,-,-,-,₹ 4.80 Lakh
74,2020 Hyundai Creta SX Diesel,2020,Diesel,"42,000 Kms",1493 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 16.80 Lakh
75,2019 Ford Ecosport 1.5 Diesel Titanium BSIV,2019,Diesel,"35,000 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 10.50 Lakh
76,2014 Ford Ecosport 1.5 DV5 MT Titanium Optional,2014,Diesel,"69,275 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 6.20 Lakh
77,2021 Maruti Alto 800 VXI,2021,Petrol,"24,048 Kms",796 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,-,-,-,-,,₹ 4.15 Lakh
78,2009 Hyundai Verna CRDi SX,2009,Diesel,"91,593 Kms",1493 cc,First Owner,Manual,Power Steering,None,Heater,Fog Lights Front,-,,,-,-,-,-,,₹ 3.25 Lakh
79,2012 Hyundai i20 Sportz 1.4 CRDi,2012,Diesel,"72,000 Kms",1396 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 3.70 Lakh
80,2016 Maruti Swift VDI,2016,Diesel,"84,507 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,-,,₹ 5.80 Lakh
81,2012 Maruti Swift VDI,2012,Diesel,"1,20,200 Kms",1248 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,-,-,-,-,,₹ 4 Lakh
82,2010 Volkswagen Polo Diesel Highline 1.2L,2010,Diesel,"90,400 Kms",1199 cc,Second Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,,,,,,₹ 3.33 Lakh
83,2016 Maruti Ritz LDi,2016,Diesel,"81,000 Kms",1248 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,-,-,-,-,,₹ 3 Lakh
84,2014 Honda City i DTEC S,2014,Diesel,"27,000 Kms",1498 cc,First Owner,Manual,Power Steering,None,Heater,Adjustable Head Lights,-,,,-,-,-,-,,₹ 7.25 Lakh
